ros_time,odom_x,odom_y,odom_z,gt_x,gt_y,gt_z,drift_dx,drift_dy,drift_dz,drift_dist,source
1747218945.490829757,-0.0001363754272928762,4.674200319425783e-05,0.0,-0.002601678951449582,-0.0004005111567750852,0.0,0.0024653035241567057,0.000447253159969343,0.0,0.002505545221168845,odom
1747218945.624134419,-0.0001363754273136859,4.674200320138999e-05,0.0,-0.002601678951449582,-0.0004005111567750852,0.0,0.002465303524135896,0.0004472531599764752,0.0,0.0025055452211496425,odom
1747218945.724141161,-0.00013637542732929757,4.674200320674062e-05,0.0,-0.002601678951449582,-0.0004005111567750852,0.0,0.0024653035241202844,0.0004472531599818258,0.0,0.0025055452211352365,odom
1747218945.724141161,-0.00013637542732929757,4.674200320674062e-05,0.0,-0.0026001513964086787,-0.0004005083752174343,0.0,0.002463775969079381,0.0004472503784241749,0.0,0.002504041718265415,gt
1747218945.824275811,0.000125134977616477,0.0002533772696606395,0.0,-0.0026001513964086787,-0.0004005083752174343,0.0,0.002725286374025156,0.0006538856448780738,0.0,0.002802633093543426,odom
1747218945.957463344,0.00018373875919084793,0.0002996801030762564,0.0,-0.0026001513964086787,-0.0004005083752174343,0.0,0.0027838901555995266,0.0007001884782936907,0.0,0.002870593719699671,odom
1747218945.957463344,0.00018373875919084793,0.0002996801030762564,0.0,-0.0025980913742009726,-0.000400505917513172,0.0,0.0027818301333918205,0.0007001860205894284,0.0,0.002868595362625341,gt
1747218946.090795086,-6.824974798105176e-05,-0.00043831913173724357,0.0,-0.0025980913742009726,-0.000400505917513172,0.0,0.0025298416262199207,-3.781321422407157e-05,0.0,0.0025301242050391535,odom
1747218946.190813062,-0.00015169156541810429,-0.0007275177495552226,0.0,-0.0025980913742009726,-0.000400505917513172,0.0,0.002446399808782868,-0.0003270118320420506,0.0,0.0024681589824621006,odom
1747218946.324180371,-0.0002912894102930785,-0.0011863869744545255,0.0,-0.0025980913742009726,-0.000400505917513172,0.0,0.0023068019639078943,-0.0007858810569413535,0.0,0.0024369949397461984,odom
1747218946.324180371,-0.0002912894102930785,-0.0011863869744545255,0.0,-0.0025955249876912223,-0.00040050376793443476,0.0,0.002304235577398144,-0.0007858832065200908,0.0,0.002434566493328465,gt
1747218946.490834417,0.0004288485805275167,-2.4121325054188673e-05,0.0,-0.0025955249876912223,-0.00040050376793443476,0.0,0.003024373568218739,0.00037638244288024607,0.0,0.0030477039264745925,odom
1747218946.590856361,0.0005027541379278203,-4.782287826267142e-05,0.0,-0.0025955249876912223,-0.00040050376793443476,0.0,0.0030982791256190427,0.00035268088967176336,0.0,0.003118287566948624,odom
1747218946.590856361,0.0005027541379278203,-4.782287826267142e-05,0.0,-0.0025924770618361848,-0.00040050191149942904,0.0,0.003095231199764005,0.00035267903323675764,0.0,0.003115259006965125,gt
1747218946.691250399,0.000581252998994633,-7.433628386472228e-05,0.0,-0.0025924770618361848,-0.00040050191149942904,0.0,0.003173730060830818,0.00032616562763470674,0.0,0.0031904461311345676,odom
1747218946.824168320,0.0006918383237264719,-0.0001136369751912031,0.0,-0.0025924770618361848,-0.00040050191149942904,0.0,0.0032843153855626568,0.00028686493630822595,0.0,0.00329681953457066,odom
1747218946.824168320,0.0006918383237264719,-0.0001136369751912031,0.0,-0.0025889712061546444,-0.00040050033393868034,0.0,0.0032808095298811164,0.00028686335874747725,0.0,0.0032933268525839696,gt
1747218946.990794325,2.7180078512316844e-05,-8.086879850611328e-05,0.0,-0.0025889712061546444,-0.00040050033393868034,0.0,0.002616151284666961,0.00031963153543256706,0.0,0.0026356046484075665,odom
1747218947.090803427,-2.0283398613548635e-05,-0.00010252510993640803,0.0,-0.0025889712061546444,-0.00040050033393868034,0.0,0.0025686878075410957,0.0002979752240022723,0.0,0.0025859130470163695,odom
1747218947.090803427,-2.0283398613548635e-05,-0.00010252510993640803,0.0,-0.0025850298741512123,-0.0004004990216657234,0.0,0.0025647464755376636,0.00029797391172931535,0.0,0.0025819978574456908,gt
1747218947.190826218,-7.365415231261777e-05,-0.00012578078088377394,0.0,-0.0025850298741512123,-0.0004004990216657234,0.0,0.0025113757218385947,0.00027471824078194947,0.0,0.002526356690584022,odom
1747218947.324124880,0.00013080102094213078,-0.0002770563981046424,0.0,-0.0025850298741512123,-0.0004004990216657234,0.0,0.002715830895093343,0.000123442623561081,0.0,0.0027186348655262906,odom
1747218947.324124880,0.00013080102094213078,-0.0002770563981046424,0.0,-0.0025806744198431097,-0.0004004979617429072,0.0,0.0027114754407852404,0.00012344156363826482,0.0,0.002714283862387089,gt
1747218947.424165541,0.00011100548567684561,-0.00032363087435476924,0.0,-0.0025806744198431097,-0.0004004979617429072,0.0,0.0026916799055199552,7.686708738813795e-05,0.0,0.0026927772397477385,odom
1747218947.524174614,8.830428986143378e-05,-0.00037302334084159084,0.0,-0.0025806744198431097,-0.0004004979617429072,0.0,0.0026689787097045436,2.7474620901316352e-05,0.0,0.0026691201186252,odom
1747218947.657473375,-0.00020902677757471272,-0.0002823310194293467,0.0,-0.0025806744198431097,-0.0004004979617429072,0.0,0.002371647642268397,0.00011816694231356047,0.0,0.002374589641460811,odom
1747218947.790818305,-0.0003020499734488741,-0.0003251075362604448,0.0,-0.0025806744198431097,-0.0004004979617429072,0.0,0.0022786244463942357,7.539042548246241e-05,0.0,0.002279871286708937,odom
1747218947.790818305,-0.0003020499734488741,-0.0003251075362604448,0.0,-0.0025759251515302672,-0.00040049714185474983,0.0,0.0022738751780813932,7.538960559430504e-05,0.0,0.002275124593978614,gt
